,station_name,lat,lng,city,district,village
0,捷運橋頭火車站,22.75931,120.30988,高雄市,橋頭區,橋頭里
1,高雄高商(五褔二路),22.62546,120.30784,高雄市,新興區,永寧里
2,澄清湖,22.65331,120.34949,高雄市,鳥松區,大華里
3,察哈爾街口,22.64692,120.29658,高雄市,三民區,安邦里
4,臺鐵鳳山站,22.63155,120.35767,高雄市,鳳山區,文華里
5,下勤和,23.16805,120.7756,高雄市,桃源區,勤和里
6,衛武社區,22.62695,120.34431,高雄市,苓雅區,衛武里
7,美術館(明誠四路),22.66205,120.28635,高雄市,鼓山區,龍水里
8,五福民權路口(高雄高商),22.62615,120.31039,高雄市,新興區,浩然里
9,安東街口(十全二路),22.64599,120.29533,高雄市,三民區,安邦里
10,中央圓環,22.72192,120.30482,高雄市,楠梓區,瑞屏里
11,明正國小(捷運草衙站),22.58118,120.3277,高雄市,前鎮區,明正里
12,文學院,22.63374,120.26131,高雄市,鼓山區,桃源里
13,中鴻鋼鐵(岡山),22.82472,120.29884,高雄市,岡山區,嘉興里
14,臺鐵正義站(澄清路),22.63416,120.34456,高雄市,三民區,寶民里
15,重和路口,22.68218,120.3142,高雄市,左營區,福山里
16,中賢里,22.90801,120.20602,高雄市,湖內區,中賢里
17,中興(新發公路),22.99612,120.64309,高雄市,六龜區,中興里
18,育德街口,22.81186,120.28008,高雄市,岡山區,灣裡里
19,四維國小(民權一路),22.62274,120.31216,高雄市,苓雅區,晴朗里
20,輕軌凱旋公園站(中正一路),22.62996,120.32408,高雄市,苓雅區,正言里
21,茄萣站,22.86876,120.19884,高雄市,茄萣區,崎漏里
22,五福中正路口,22.62973,120.32064,高雄市,苓雅區,凱旋里
23,木業公司(六龜),23.00046,120.64495,高雄市,六龜區,中興里
24,大寮農會,22.60159,120.39788,高雄市,大寮區,會社里
25,美崙山,23.06753,120.68565,高雄市,六龜區,新發里
26,中崙一路,22.6009,120.35051,高雄市,鳳山區,中崙里
27,衛武營都會公園(南京路),22.61798,120.34572,高雄市,鳳山區,國隆里
28,必勝路,22.67543,120.284,高雄市,左營區,自助里
29,復華中學,22.6205,120.31417,高雄市,苓雅區,普天里
30,鳳山行政中心(澄清路),22.63032,120.34451,高雄市,鳳山區,忠孝里
31,正義高中,22.60113,120.34013,高雄市,鳳山區,正義里
32,捷運楠梓加工區站,22.71835,120.30649,高雄市,楠梓區,宏毅里
33,先鋒路,22.67865,120.28271,高雄市,左營區,崇實里
34,金屬中心,22.71441,120.32599,高雄市,楠梓區,稔田里
35,監理所(高楠路),22.73266,120.32024,高雄市,楠梓區,惠民里
36,成功南路,22.7506,120.31406,高雄市,橋頭區,橋南里
37,新庄(新莊路),22.74556,120.30183,高雄市,橋頭區,新莊里
38,高雄車站(中山路),22.63682,120.30221,高雄市,三民區,港西里
39,鳳南路口,22.59217,120.3404,高雄市,鳳山區,南成里
40,濟天宮(國慶六街),22.58758,120.33797,高雄市,前鎮區,明正里
41,六龜新站(親水公園),23.00615,120.64858,高雄市,六龜區,興龍里
42,灣子內(岡山),22.80953,120.28278,高雄市,岡山區,灣裡里
43,北嶺墘,22.82115,120.26947,高雄市,路竹區,北嶺里
44,味全公司,22.82728,120.26658,高雄市,路竹區,北嶺里
45,立大食品廠,22.83649,120.26476,高雄市,路竹區,北嶺里
46,鳳鳴國小,22.51528,120.35778,高雄市,小港區,龍鳳里
47,東盟公司,22.84868,120.26247,高雄市,路竹區,竹南里
48,南路竹,22.85523,120.26117,高雄市,路竹區,竹南里
49,路竹,22.859,120.26014,高雄市,路竹區,竹東里
50,北路竹,22.86303,120.25795,高雄市,路竹區,竹東里
51,國際商工(輕軌五權國小站),22.62103,120.32644,高雄市,苓雅區,朝陽里
52,高新醫院,22.86554,120.25679,高雄市,路竹區,竹東里
53,中山大仁路口,22.87349,120.25422,高雄市,路竹區,竹東里
54,大湖火車站,22.87771,120.25243,高雄市,湖內區,湖東里
55,橡膠廠,22.59477,120.28243,高雄市,旗津區,南汕里
56,烏松,22.59842,120.28018,高雄市,旗津區,北汕里
57,南勢巷站,22.77639,120.41319,高雄市,燕巢區,深水里
58,台農飼料廠,22.8982,120.23618,高雄市,湖內區,太爺里
59,牛蹄寮(富樂夢觀光工廠),22.90227,120.2319,高雄市,湖內區,太爺里
60,太爺(湖內國中),22.90895,120.22739,高雄市,湖內區,太爺里
61,嘉南藥理大學,22.92101,120.22506,台南市,仁德區,保安里
62,三信家商,22.62199,120.32926,高雄市,苓雅區,福海里
63,保安里,22.92356,120.22375,台南市,仁德區,保安里
64,橋頭市場,22.75525,120.31129,高雄市,橋頭區,仕隆里
65,台糖花卉中心,22.74092,120.3251,高雄市,楠梓區,清豐里
66,牛稠仔,22.95366,120.21774,台南市,仁德區,仁愛里
67,二空新村,22.96123,120.21711,台南市,東區,東智里
68,空軍醫院,22.96553,120.21644,台南市,東區,崇明里
69,大同巷,22.96871,120.21598,台南市,東區,崇明里
70,大林(大同路二段),22.97461,120.21436,台南市,東區,大福里
71,大同路,22.97678,120.2139,台南市,南區,新生里
72,南台南,22.98133,120.21137,台南市,中西區,法華里
73,五塊厝(三多一路),22.62288,120.33177,高雄市,苓雅區,福人里
74,健康路,22.98132,120.20664,台南市,南區,竹溪里
