,city,district,bus_station_total
0,台南市,中西區,8
1,台南市,仁德區,5
2,台南市,南化區,9
3,台南市,南區,2
4,台南市,東區,6
5,台南市,歸仁區,1
6,屏東縣,屏東市,13
7,屏東縣,里港鄉,1
8,屏東縣,高樹鄉,2
9,高雄市,三民區,206
10,高雄市,仁武區,78
11,高雄市,內門區,60
12,高雄市,六龜區,95
13,高雄市,前金區,33
14,高雄市,前鎮區,159
15,高雄市,大寮區,121
16,高雄市,大樹區,85
17,高雄市,大社區,26
18,高雄市,小港區,174
19,高雄市,岡山區,104
20,高雄市,左營區,146
21,高雄市,彌陀區,28
22,高雄市,新興區,42
23,高雄市,旗山區,85
24,高雄市,旗津區,38
25,高雄市,杉林區,53
26,高雄市,林園區,52
27,高雄市,桃源區,36
28,高雄市,梓官區,45
29,高雄市,楠梓區,181
30,高雄市,橋頭區,53
31,高雄市,永安區,25
32,高雄市,湖內區,24
33,高雄市,燕巢區,72
34,高雄市,田寮區,55
35,高雄市,甲仙區,32
36,高雄市,美濃區,43
37,高雄市,苓雅區,120
38,高雄市,茂林區,15
39,高雄市,茄萣區,36
40,高雄市,路竹區,46
41,高雄市,那瑪夏區,31
42,高雄市,阿蓮區,43
43,高雄市,鳥松區,52
44,高雄市,鳳山區,198
45,高雄市,鹽埕區,26
46,高雄市,鼓山區,128
