,city,district,people_total,area,population_density,bus_station_total,bus_station_density,person_per_bus_station
0,高雄市,鹽埕區,23553.0,1.4161,16632.0,26.0,18.360285,905.88464
1,高雄市,鼓山區,141488.0,14.7523,9591.0,128.0,8.676613,1105.375
2,高雄市,左營區,197306.0,19.3823,10180.0,146.0,7.532646,1351.411
3,高雄市,楠梓區,189426.0,25.8276,7334.0,181.0,7.0080066,1046.5525
4,高雄市,三民區,336868.0,19.7866,17025.0,206.0,10.411086,1635.2815
5,高雄市,新興區,50490.0,1.9764,25546.0,42.0,21.25076,1202.1428
6,高雄市,前金區,26668.0,1.8573,14358.0,33.0,17.767727,808.1212
7,高雄市,苓雅區,167280.0,8.1522,20520.0,120.0,14.719954,1394.0
8,高雄市,前鎮區,185828.0,19.1207,9719.0,159.0,8.315595,1168.7296
9,高雄市,旗津區,27785.0,1.4639,18980.0,38.0,25.958057,731.1842
10,高雄市,小港區,157356.0,45.4426,3463.0,174.0,3.8290062,904.34485
11,高雄市,鳳山區,359576.0,26.759,13438.0,198.0,7.3993793,1816.0404
12,高雄市,林園區,69478.0,32.286,2152.0,52.0,1.6106052,1336.1154
13,高雄市,大寮區,112265.0,71.04,1580.0,121.0,1.7032658,927.80994
14,高雄市,大樹區,41764.0,66.9811,624.0,85.0,1.2690146,491.3412
15,高雄市,大社區,34324.0,26.5848,1291.0,26.0,0.9780024,1320.1538
16,高雄市,仁武區,91893.0,36.0808,2547.0,78.0,2.1618147,1178.1154
17,高雄市,鳥松區,44938.0,24.5927,1827.0,52.0,2.1144488,864.1923
18,高雄市,岡山區,96841.0,47.9421,2020.0,104.0,2.1692834,931.16345
19,高雄市,橋頭區,38955.0,25.9379,1502.0,53.0,2.0433419,735.0
20,高雄市,燕巢區,29493.0,65.395,451.0,72.0,1.1010016,409.625
21,高雄市,田寮區,6919.0,92.6802,75.0,55.0,0.5934385,125.8
22,高雄市,阿蓮區,28331.0,34.6164,818.0,43.0,1.2421857,658.8605
23,高雄市,路竹區,51726.0,48.4348,1068.0,46.0,0.9497304,1124.4783
24,高雄市,湖內區,29882.0,20.1615,1482.0,24.0,1.1903876,1245.0834
25,高雄市,茄萣區,29960.0,15.7624,1901.0,36.0,2.2839162,832.2222
26,高雄市,永安區,13705.0,22.6141,606.0,25.0,1.105505,548.2
27,高雄市,彌陀區,18872.0,14.7772,1277.0,28.0,1.8948109,674.0
28,高雄市,梓官區,35517.0,11.5967,3063.0,45.0,3.8804142,789.26666
29,高雄市,旗山區,35764.0,94.6122,378.0,85.0,0.89840424,420.75293
30,高雄市,美濃區,38611.0,120.0316,322.0,43.0,0.358239,897.93024
31,高雄市,六龜區,12391.0,194.1584,64.0,95.0,0.48929122,130.43158
32,高雄市,甲仙區,5877.0,124.034,47.0,32.0,0.2579938,183.65625
33,高雄市,杉林區,11541.0,104.0036,111.0,53.0,0.5095977,217.75471
34,高雄市,內門區,13976.0,95.6224,146.0,60.0,0.62746805,232.93333
35,高雄市,茂林區,1915.0,194.0,10.0,15.0,0.077319585,127.666664
36,高雄市,桃源區,4223.0,928.98,5.0,36.0,0.03875218,117.30556
37,高雄市,那瑪夏區,3147.0,252.9895,12.0,31.0,0.12253473,101.51613
